SESSION; TIME;RPM;THROT;LAMB;R U SP;TAR LB;OIL P;SLIP%;INJ;L/Hr;L/100K;
9 ;0:15.40 ;10844 ;100 ;12.642 ;0.0 ;14.700 ;43.5 ;0 ;7.18 ;29.3;0.0;
9 ;0:15.50 ;10769 ;100 ;13.215 ;0.0 ;14.700 ;43.5 ;0 ;7.33 ;30.2;0.0;
9 ;0:15.60 ;10279 ;100 ;14.641 ;0.0 ;14.700 ;43.5 ;0 ;6.86 ;23.5;0.0;
9 ;0:15.70 ;10140 ;100 ;14.979 ;0.0 ;14.700 ;43.5 ;0 ;6.25 ;21.5;0.0;
9 ;0:15.80 ;9755 ;100 ;13.803 ;0.0 ;14.700 ;43.5 ;0 ;5.63 ;20.1;0.0;
9 ;0:15.90 ;9337 ;100 ;12.657 ;0.0 ;14.700 ;43.5 ;0 ;6.60 ;24.7;0.0;
9 ;0:16.00 ;9191 ;100 ;12.686 ;0.0 ;14.700 ;43.5 ;0 ;7.09 ;24.4;0.0;
9 ;0:16.10 ;8992 ;100 ;12.995 ;0.0 ;14.700 ;43.5 ;0 ;8.02 ;24.1;0.0;
9 ;0:16.20 ;9110 ;100 ;11.892 ;0.0 ;14.700 ;43.5 ;0 ;7.48 ;28.6;0.0;
9 ;0:16.30 ;6630 ;41 ;11.407 ;0.0 ;14.700 ;43.5 ;0 ;4.58 ;5.8;0.0;
9 ;0:16.40 ;7329 ;0 ;12.010 ;0.0 ;14.700 ;43.5 ;0 ;2.54 ;7.1;0.0;
9 ;0:16.50 ;6275 ;52 ;11.892 ;0.0 ;14.700 ;43.5 ;0 ;4.01 ;10.7;0.0;
9 ;0:16.60 ;6508 ;100 ;11.201 ;0.0 ;14.700 ;43.5 ;0 ;5.51 ;11.8;0.0;
9 ;0:16.70 ;5726 ;100 ;10.511 ;0.0 ;14.700 ;43.5 ;0 ;5.53 ;10.2;0.0;
9 ;0:16.80 ;5959 ;100 ;10.555 ;0.0 ;14.700 ;43.5 ;0 ;4.74 ;12.2;0.0;
9 ;0:16.90 ;5714 ;100 ;10.187 ;0.0 ;14.700 ;43.5 ;0 ;5.75 ;10.4;0.0;
9 ;0:17.00 ;5496 ;100 ;10.334 ;0.0 ;14.700 ;43.5 ;0 ;6.66 ;14.1;0.0;
9 ;0:17.10 ;5480 ;100 ;10.378 ;0.0 ;14.700 ;43.5 ;0 ;6.73 ;13.9;0.0;
9 ;0:17.20 ;5243 ;100 ;11.363 ;0.0 ;14.700 ;43.5 ;0 ;7.71 ;15.2;0.0;
9 ;0:17.30 ;5252 ;100 ;12.157 ;0.0 ;14.700 ;43.5 ;0 ;7.68 ;15.1;0.0;
9 ;0:17.40 ;5247 ;100 ;13.039 ;0.0 ;14.700 ;43.5 ;0 ;7.70 ;10.4;0.0;
9 ;0:17.50 ;7278 ;100 ;12.186 ;0.0 ;14.700 ;43.5 ;0 ;7.84 ;14.5;0.0;
9 ;0:17.60 ;5585 ;34 ;17.405 ;0.0 ;14.700 ;43.5 ;0 ;4.26 ;4.9;0.0;
9 ;0:17.70 ;5453 ;0 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;2.25 ;4.5;0.0;
9 ;0:17.80 ;4441 ;94 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;3.98 ;6.5;0.0;
9 ;0:17.90 ;4479 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;3.85 ;6.8;0.0;
9 ;0:18.00 ;4348 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.05 ;6.4;0.0;
9 ;0:18.10 ;4323 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.08 ;6.4;0.0;
